#THETA: 0. 1.
250.0	0.01
260.0	0.2
270.0	0.45
280.0	0.65
290.0	0.76
300.0	0.81
310.0	0.855
320.0	0.879
330.0	0.892
340.0	0.903
350.0	0.906
360.0	0.91
370.0	0.917
380.0	0.917
390.0	0.92
400.0	0.921
410.0	0.922
420.0	0.922
430.0	0.922
440.0	0.922
450.0	0.922
460.0	0.922
470.0	0.922
480.0	0.922
490.0	0.922
500.0	0.922
510.0	0.922
520.0	0.922
530.0	0.922
540.0	0.922
550.0	0.922
560.0	0.922
570.0	0.922
580.0	0.922
590.0	0.922
600.0	0.922
610.0	0.922
620.0	0.922
630.0	0.922
640.0	0.922
650.0	0.922
660.0	0.922
670.0	0.922
680.0	0.922
690.0	0.922
700.0	0.922
710.0	0.922
720.0	0.922
730.0	0.922
740.0	0.922
750.0	0.922
760.0	0.922
770.0	0.922
780.0	0.922
790.0	0.922
800.0	0.922
810.0	0.922
820.0	0.922
830.0	0.922
840.0	0.922
850.0	0.922
860.0	0.922
870.0	0.922
880.0	0.922
890.0	0.922
900.0	0.922
910.0	0.922
920.0	0.922
930.0	0.922
940.0	0.922
950.0	0.922
960.0	0.922
970.0	0.922
980.0	0.922
990.0	0.922
1000.0	0.922
